Check failed for (fp128): x = -4.574158903626738955201608766054956067e+00; diff = 1.925929944387235853055977942584927319e-34; -728/1000
Check failed for (fp128): x = -1.998052927683108499662241191765763781e+00; diff = 1.925929944387235853055977942584927319e-34; -318/1000
Check failed for (fp128): x = -1.991769742375928913185315904999204880e+00; diff = 1.925929944387235853055977942584927319e-34; -317/1000
Check failed for (fp128): x = -1.979203371761569740231465331466086693e+00; diff = 1.925929944387235853055977942584927319e-34; -315/1000
Check failed for (fp128): x = -1.897521962768235116031436603500819634e+00; diff = 1.925929944387235853055977942584927319e-34; -302/1000
Check failed for (fp128): x = -1.866106036232337183646810169668024552e+00; diff = 1.925929944387235853055977942584927319e-34; -297/1000
Check failed for (fp128): x = -1.853539665617978010692959596134906558e+00; diff = 2.407412430484044816319972428231159148e-34; -295/1000
Check failed for (fp128): x = -1.834690109696439251262183735835229663e+00; diff = 1.925929944387235853055977942584927319e-34; -292/1000
Check failed for (fp128): x = -1.759291886010284213539080294636521698e+00; diff = 1.925929944387235853055977942584927319e-34; -280/1000
Check failed for (fp128): x = -1.753008700703104627062155007869962604e+00; diff = 2.407412430484044816319972428231159148e-34; -279/1000
Check failed for (fp128): x = -1.614778623945153724569798699005664475e+00; diff = 2.226856498197741455095974496113822212e-34; -257/1000
Check failed for (fp128): x = 1.614778623945153724569798699005664475e+00; diff = 2.226856498197741455095974496113822212e-34; 257/1000
Check failed for (fp128): x = 1.753008700703104627062155007869962604e+00; diff = 2.407412430484044816319972428231159148e-34; 279/1000
Check failed for (fp128): x = 1.759291886010284213539080294636521698e+00; diff = 1.925929944387235853055977942584927319e-34; 280/1000
Check failed for (fp128): x = 1.834690109696439251262183735835229663e+00; diff = 1.925929944387235853055977942584927319e-34; 292/1000
Check failed for (fp128): x = 1.853539665617978010692959596134906558e+00; diff = 2.407412430484044816319972428231159148e-34; 295/1000
Check failed for (fp128): x = 1.866106036232337183646810169668024552e+00; diff = 1.925929944387235853055977942584927319e-34; 297/1000
Check failed for (fp128): x = 1.897521962768235116031436603500819634e+00; diff = 1.925929944387235853055977942584927319e-34; 302/1000
Check failed for (fp128): x = 1.979203371761569740231465331466086693e+00; diff = 1.925929944387235853055977942584927319e-34; 315/1000
Check failed for (fp128): x = 1.991769742375928913185315904999204880e+00; diff = 1.925929944387235853055977942584927319e-34; 317/1000
Check failed for (fp128): x = 1.998052927683108499662241191765763781e+00; diff = 1.925929944387235853055977942584927319e-34; 318/1000
Check failed for (fp128): x = 2.004336112990288086139166478532322489e+00; diff = 1.925929944387235853055977942584927319e-34; 319/1000
Check failed for (fp128): x = 2.086017521983622710339195206497589740e+00; diff = 2.407412430484044816319972428231159148e-34; 332/1000
Check failed for (fp128): x = 2.129999819133879815677672213863502817e+00; diff = 1.925929944387235853055977942584927319e-34; 339/1000
Check failed for (fp128): x = 2.148849375055418575108448074163179904e+00; diff = 1.925929944387235853055977942584927319e-34; 342/1000
Check failed for (fp128): x = 2.173982116284136921016149221229415893e+00; diff = 1.925929944387235853055977942584927319e-34; 346/1000
Check failed for (fp128): x = 2.192831672205675680446925081529092980e+00; diff = 1.925929944387235853055977942584927319e-34; 349/1000
Check failed for (fp128): x = 2.211681228127214439877700941828770068e+00; diff = 1.925929944387235853055977942584927319e-34; 352/1000
Check failed for (fp128): x = 2.280796266506189891123879096260918747e+00; diff = 1.925929944387235853055977942584927319e-34; 363/1000
Check failed for (fp128): x = 2.287079451813369477600804383027478033e+00; diff = 1.925929944387235853055977942584927319e-34; 364/1000
Check failed for (fp128): x = 2.299645822427728650554654956560596220e+00; diff = 1.925929944387235853055977942584927319e-34; 366/1000
Check failed for (fp128): x = 2.324778563656446996462356103626832209e+00; diff = 1.925929944387235853055977942584927319e-34; 370/1000
Check failed for (fp128): x = 2.387610416728242861231608971292421987e+00; diff = 1.925929944387235853055977942584927319e-34; 380/1000
Check failed for (fp128): x = 2.393893602035422447708534258058980888e+00; diff = 1.925929944387235853055977942584927319e-34; 381/1000
Check failed for (fp128): x = 2.538406864100552936677815853689838304e+00; diff = 1.925929944387235853055977942584927319e-34; 404/1000
Check failed for (fp128): x = 2.563539605329271282585517000756074292e+00; diff = 2.888894916580853779583966913877390978e-34; 408/1000
Check failed for (fp128): x = 2.569822790636450869062442287522633193e+00; diff = 1.925929944387235853055977942584927319e-34; 409/1000
Check failed for (fp128): x = 2.588672346557989628493218147822310280e+00; diff = 1.925929944387235853055977942584927319e-34; 412/1000
Check failed for (fp128): x = 2.645221014322605906785545728721341543e+00; diff = 1.925929944387235853055977942584927319e-34; 421/1000
Check failed for (fp128): x = 2.676636940858503839170172162554136433e+00; diff = 1.925929944387235853055977942584927319e-34; 426/1000
Check failed for (fp128): x = 2.708052867394401771554798596386931707e+00; diff = 1.925929944387235853055977942584927319e-34; 431/1000
Check failed for (fp128): x = 2.733185608623120117462499743453167311e+00; diff = 1.925929944387235853055977942584927319e-34; 435/1000
Check failed for (fp128): x = 2.758318349851838463370200890519403684e+00; diff = 1.925929944387235853055977942584927319e-34; 439/1000
Check failed for (fp128): x = 2.764601535159018049847126177285962585e+00; diff = 1.925929944387235853055977942584927319e-34; 440/1000
Check failed for (fp128): x = 2.770884720466197636324051464052521486e+00; diff = 1.925929944387235853055977942584927319e-34; 441/1000
Check failed for (fp128): x = 2.777167905773377222800976750819080387e+00; diff = 2.888894916580853779583966913877390978e-34; 442/1000
Check failed for (fp128): x = 2.783451091080556809277902037585639288e+00; diff = 1.925929944387235853055977942584927319e-34; 443/1000
Check failed for (fp128): x = 2.789734276387736395754827324352198188e+00; diff = 1.925929944387235853055977942584927319e-34; 444/1000
Check failed for (fp128): x = 2.814867017616454741662528471418434562e+00; diff = 1.925929944387235853055977942584927319e-34; 448/1000
Check failed for (fp128): x = 2.827433388230813914616379044951552749e+00; diff = 1.925929944387235853055977942584927319e-34; 450/1000
Check failed for (fp128): x = 2.846282944152352674047154905251229451e+00; diff = 1.925929944387235853055977942584927319e-34; 453/1000
Check failed for (fp128): x = 2.852566129459532260524080192017788352e+00; diff = 1.925929944387235853055977942584927319e-34; 454/1000
Check failed for (fp128): x = 2.871415685381071019954856052317465440e+00; diff = 1.925929944387235853055977942584927319e-34; 457/1000
Check failed for (fp128): x = 2.877698870688250606431781339084024726e+00; diff = 2.888894916580853779583966913877390978e-34; 458/1000
Check failed for (fp128): x = 2.896548426609789365862557199383701428e+00; diff = 1.925929944387235853055977942584927319e-34; 461/1000
Check failed for (fp128): x = 2.909114797224148538816407772916819615e+00; diff = 1.925929944387235853055977942584927319e-34; 463/1000
Check failed for (fp128): x = 2.921681167838507711770258346449937802e+00; diff = 1.925929944387235853055977942584927319e-34; 465/1000
Check failed for (fp128): x = 2.978229835603123990062585927348968680e+00; diff = 1.925929944387235853055977942584927319e-34; 474/1000
Check failed for (fp128): x = 2.984513020910303576539511214115527581e+00; diff = 1.925929944387235853055977942584927319e-34; 475/1000
Check failed for (fp128): x = 3.053628059289279027785689368547676645e+00; diff = 1.925929944387235853055977942584927319e-34; 486/1000
Check failed for (fp128): x = 3.097610356439536133124166375913589721e+00; diff = 1.925929944387235853055977942584927319e-34; 493/1000
Check failed for (fp128): x = 3.116459912361074892554942236213266809e+00; diff = 1.925929944387235853055977942584927319e-34; 496/1000
Check failed for (fp128): x = 3.166725394818511584370344530345738786e+00; diff = 1.925929944387235853055977942584927319e-34; 504/1000
Check failed for (fp128): x = 3.185574950740050343801120390645415488e+00; diff = 1.925929944387235853055977942584927319e-34; 507/1000
Check failed for (fp128): x = 3.229557247890307449139597398011328950e+00; diff = 1.925929944387235853055977942584927319e-34; 514/1000
Check failed for (fp128): x = 3.254689989119025795047298545077564553e+00; diff = 1.925929944387235853055977942584927319e-34; 518/1000
Check failed for (fp128): x = 3.298672286269282900385775552443478014e+00; diff = 1.925929944387235853055977942584927319e-34; 525/1000
Check failed for (fp128): x = 3.317521842190821659816551412743154717e+00; diff = 1.925929944387235853055977942584927319e-34; 528/1000
Check failed for (fp128): x = 3.348937768726719592201177846575949606e+00; diff = 1.925929944387235853055977942584927319e-34; 533/1000
Check failed for (fp128): x = 3.361504139341078765155028420109068178e+00; diff = 1.925929944387235853055977942584927319e-34; 535/1000
Check failed for (fp128): x = 3.380353695262617524585804280408744881e+00; diff = 1.925929944387235853055977942584927319e-34; 538/1000
Check failed for (fp128): x = 3.399203251184156284016580140708421968e+00; diff = 1.925929944387235853055977942584927319e-34; 541/1000
Check failed for (fp128): x = 3.430619177720054216401206574541217243e+00; diff = 1.925929944387235853055977942584927319e-34; 546/1000
Check failed for (fp128): x = 3.436902363027233802878131861307776144e+00; diff = 2.888894916580853779583966913877390978e-34; 547/1000
Check failed for (fp128): x = 3.443185548334413389355057148074335044e+00; diff = 1.925929944387235853055977942584927319e-34; 548/1000
Check failed for (fp128): x = 3.449468733641592975831982434840893945e+00; diff = 1.925929944387235853055977942584927319e-34; 549/1000
Check failed for (fp128): x = 3.455751918948772562308907721607453231e+00; diff = 1.925929944387235853055977942584927319e-34; 550/1000
Check failed for (fp128): x = 3.480884660177490908216608868673688835e+00; diff = 1.925929944387235853055977942584927319e-34; 554/1000
Check failed for (fp128): x = 3.506017401406209254124310015739925208e+00; diff = 1.925929944387235853055977942584927319e-34; 558/1000
Check failed for (fp128): x = 3.512300586713388840601235302506484109e+00; diff = 1.925929944387235853055977942584927319e-34; 559/1000
Check failed for (fp128): x = 3.531150142634927600032011162806161197e+00; diff = 1.925929944387235853055977942584927319e-34; 562/1000
Check failed for (fp128): x = 3.537433327942107186508936449572720098e+00; diff = 1.925929944387235853055977942584927319e-34; 563/1000
Check failed for (fp128): x = 3.562566069170825532416637596638956086e+00; diff = 1.925929944387235853055977942584927319e-34; 567/1000
Check failed for (fp128): x = 3.593981995706723464801264030471751361e+00; diff = 1.925929944387235853055977942584927319e-34; 572/1000
Check failed for (fp128): x = 3.625397922242621397185890464304546250e+00; diff = 1.925929944387235853055977942584927319e-34; 577/1000
Check failed for (fp128): x = 3.656813848778519329570516898137341524e+00; diff = 1.925929944387235853055977942584927319e-34; 582/1000
Check failed for (fp128): x = 3.751061628386213126724396199635726577e+00; diff = 1.925929944387235853055977942584927319e-34; 597/1000
Check failed for (fp128): x = 3.763627999000572299678246773168844379e+00; diff = 1.925929944387235853055977942584927319e-34; 599/1000
Check failed for (fp128): x = 3.776194369614931472632097346701962181e+00; diff = 1.925929944387235853055977942584927319e-34; 601/1000
Check failed for (fp128): x = 3.782477554922111059109022633468521467e+00; diff = 1.925929944387235853055977942584927319e-34; 602/1000
Check failed for (fp128): x = 3.788760740229290645585947920235080368e+00; diff = 1.925929944387235853055977942584927319e-34; 603/1000
Check failed for (fp128): x = 3.795043925536470232062873207001639268e+00; diff = 1.925929944387235853055977942584927319e-34; 604/1000
Check failed for (fp128): x = 3.826459852072368164447499640834434543e+00; diff = 1.925929944387235853055977942584927319e-34; 609/1000
Check failed for (fp128): x = 3.845309407993906923878275501134111631e+00; diff = 1.925929944387235853055977942584927319e-34; 612/1000
Check failed for (fp128): x = 3.883008519836984442739827221733465806e+00; diff = 1.925929944387235853055977942584927319e-34; 618/1000
Check failed for (fp128): x = 3.920707631680061961601378942332819596e+00; diff = 1.925929944387235853055977942584927319e-34; 624/1000
Check failed for (fp128): x = 3.933274002294421134555229515865937398e+00; diff = 1.925929944387235853055977942584927319e-34; 626/1000
Check failed for (fp128): x = 3.989822670059037412847557096764968661e+00; diff = 1.925929944387235853055977942584927319e-34; 635/1000
Check failed for (fp128): x = 4.021238596594935345232183530597763550e+00; diff = 1.925929944387235853055977942584927319e-34; 640/1000
Check failed for (fp128): x = 4.046371337823653691139884677663999924e+00; diff = 1.925929944387235853055977942584927319e-34; 644/1000
Check failed for (fp128): x = 4.052654523130833277616809964430558824e+00; diff = 2.888894916580853779583966913877390978e-34; 645/1000
Check failed for (fp128): x = 4.084070449666731210001436398263354099e+00; diff = 1.925929944387235853055977942584927319e-34; 650/1000
Check failed for (fp128): x = 4.115486376202629142386062832096148603e+00; diff = 1.925929944387235853055977942584927319e-34; 655/1000
Check failed for (fp128): x = 4.159468673352886247724539839462061679e+00; diff = 1.925929944387235853055977942584927319e-34; 662/1000
Check failed for (fp128): x = 4.172035043967245420678390412995179481e+00; diff = 1.925929944387235853055977942584927319e-34; 664/1000
Check failed for (fp128): x = 4.228583711731861698970717993894210359e+00; diff = 2.407412430484044816319972428231159148e-34; 673/1000
Check failed for (fp128): x = 4.247433267653400458401493854193887831e+00; diff = 1.925929944387235853055977942584927319e-34; 676/1000
Check failed for (fp128): x = 4.285132379496477977263045574793242007e+00; diff = 1.925929944387235853055977942584927319e-34; 682/1000
Check failed for (fp128): x = 4.291415564803657563739970861559800908e+00; diff = 1.925929944387235853055977942584927319e-34; 683/1000
Check failed for (fp128): x = 4.379380159104171774416924876291627060e+00; diff = 1.925929944387235853055977942584927319e-34; 697/1000
Check failed for (fp128): x = 4.523893421169302263386206471922484090e+00; diff = 2.166671187435640334687975185408043233e-34; 720/1000
Check failed for (fp128): x = 4.574158903626738955201608766054956067e+00; diff = 1.925929944387235853055977942584927319e-34; 728/1000
Epsilon (fp128): 1.925929944387235853055977942584927319e-34
Failed: 202; OK: 1799
