Check failed for (fp64): alpha = -6.27061893656523; beta = -1.56765473414131; diff = 2.21177243187043e-16; -998/1000
Check failed for (fp64): alpha = -5.71769862953342; beta = -1.42942465738336; diff = 1.80411241501588e-16; -910/1000
Check failed for (fp64): alpha = -5.69884907361188; beta = -1.42471226840297; diff = 1.66533453693773e-16; -907/1000
Check failed for (fp64): alpha = -5.69256588830471; beta = -1.42314147207618; diff = 1.80411241501588e-16; -906/1000
Check failed for (fp64): alpha = -5.68628270299753; beta = -1.42157067574938; diff = 3.7470027081099e-16; -905/1000
Check failed for (fp64): alpha = -5.67999951769035; beta = -1.41999987942259; diff = 3.60822483003176e-16; -904/1000
Check failed for (fp64): alpha = -5.67371633238317; beta = -1.41842908309579; diff = 1.52655665885959e-16; -903/1000
Check failed for (fp64): alpha = -5.66743314707599; beta = -1.416858286769; diff = 1.94289029309402e-16; -902/1000
Check failed for (fp64): alpha = -5.66114996176881; beta = -1.4152874904422; diff = 1.66533453693773e-16; -901/1000
Check failed for (fp64): alpha = -5.64230040584727; beta = -1.41057510146182; diff = 1.94289029309402e-16; -898/1000
Check failed for (fp64): alpha = -5.63601722054009; beta = -1.40900430513502; diff = 1.94289029309402e-16; -897/1000
Check failed for (fp64): alpha = -5.62973403523291; beta = -1.40743350880823; diff = 3.60822483003176e-16; -896/1000
Check failed for (fp64): alpha = -5.62345084992573; beta = -1.40586271248143; diff = 3.88578058618805e-16; -895/1000
Check failed for (fp64): alpha = -5.61716766461855; beta = -1.40429191615464; diff = 1.94289029309402e-16; -894/1000
Check failed for (fp64): alpha = -5.61088447931137; beta = -1.40272111982784; diff = 1.66533453693773e-16; -893/1000
Check failed for (fp64): alpha = -5.60460129400419; beta = -1.40115032350105; diff = 1.66533453693773e-16; -892/1000
Check failed for (fp64): alpha = -5.58575173808265; beta = -1.39643793452066; diff = 1.38777878078145e-16; -889/1000
Check failed for (fp64): alpha = -5.57946855277547; beta = -1.39486713819387; diff = 1.94289029309402e-16; -888/1000
Check failed for (fp64): alpha = -5.57318536746829; beta = -1.39329634186707; diff = 3.60822483003176e-16; -887/1000
Check failed for (fp64): alpha = -5.56690218216111; beta = -1.39172554554028; diff = 3.33066907387547e-16; -886/1000
Check failed for (fp64): alpha = -5.56061899685393; beta = -1.39015474921348; diff = 1.66533453693773e-16; -885/1000
Check failed for (fp64): alpha = -5.55433581154675; beta = -1.38858395288669; diff = 1.66533453693773e-16; -884/1000
Check failed for (fp64): alpha = -5.54805262623958; beta = -1.38701315655989; diff = 1.38777878078145e-16; -883/1000
Check failed for (fp64): alpha = -5.52920307031804; beta = -1.38230076757951; diff = 1.94289029309402e-16; -880/1000
Check failed for (fp64): alpha = -5.52291988501086; beta = -1.38072997125271; diff = 1.38777878078145e-16; -879/1000
Check failed for (fp64): alpha = -5.51663669970368; beta = -1.37915917492592; diff = 3.60822483003176e-16; -878/1000
Check failed for (fp64): alpha = -5.5103535143965; beta = -1.37758837859912; diff = 3.33066907387547e-16; -877/1000
Check failed for (fp64): alpha = -5.50407032908932; beta = -1.37601758227233; diff = 1.94289029309402e-16; -876/1000
Check failed for (fp64): alpha = -5.49778714378214; beta = -1.37444678594553; diff = 1.11022302462516e-16; -875/1000
Check failed for (fp64): alpha = -5.49150395847496; beta = -1.37287598961874; diff = 1.66533453693773e-16; -874/1000
Check failed for (fp64): alpha = -5.47265440255342; beta = -1.36816360063835; diff = 1.38777878078145e-16; -871/1000
Check failed for (fp64): alpha = -5.46637121724624; beta = -1.36659280431156; diff = 1.38777878078145e-16; -870/1000
Check failed for (fp64): alpha = -5.46008803193906; beta = -1.36502200798477; diff = 2.77555756156289e-16; -869/1000
Check failed for (fp64): alpha = -5.45380484663188; beta = -1.36345121165797; diff = 3.05311331771918e-16; -868/1000
Check failed for (fp64): alpha = -5.4475216613247; beta = -1.36188041533118; diff = 1.38777878078145e-16; -867/1000
Check failed for (fp64): alpha = -5.44123847601752; beta = -1.36030961900438; diff = 1.66533453693773e-16; -866/1000
Check failed for (fp64): alpha = -5.43495529071034; beta = -1.35873882267759; diff = 1.94289029309402e-16; -865/1000
Check failed for (fp64): alpha = -5.4161057347888; beta = -1.3540264336972; diff = 1.66533453693773e-16; -862/1000
Check failed for (fp64): alpha = -5.40982254948162; beta = -1.35245563737041; diff = 1.38777878078145e-16; -861/1000
Check failed for (fp64): alpha = -5.40353936417444; beta = -1.35088484104361; diff = 2.4980018054066e-16; -860/1000
Check failed for (fp64): alpha = -5.39725617886726; beta = -1.34931404471682; diff = 2.77555756156289e-16; -859/1000
Check failed for (fp64): alpha = -5.39097299356008; beta = -1.34774324839002; diff = 1.66533453693773e-16; -858/1000
Check failed for (fp64): alpha = -5.38468980825291; beta = -1.34617245206323; diff = 1.38777878078145e-16; -857/1000
Check failed for (fp64): alpha = -5.37840662294573; beta = -1.34460165573643; diff = 1.38777878078145e-16; -856/1000
Check failed for (fp64): alpha = -5.35955706702419; beta = -1.33988926675605; diff = 1.11022302462516e-16; -853/1000
Check failed for (fp64): alpha = -5.35327388171701; beta = -1.33831847042925; diff = 1.38777878078145e-16; -852/1000
Check failed for (fp64): alpha = -5.34699069640983; beta = -1.33674767410246; diff = 2.77555756156289e-16; -851/1000
Check failed for (fp64): alpha = -5.34070751110265; beta = -1.33517687777566; diff = 2.22044604925031e-16; -850/1000
Check failed for (fp64): alpha = -5.33442432579547; beta = -1.33360608144887; diff = 1.38777878078145e-16; -849/1000
Check failed for (fp64): alpha = -5.32814114048829; beta = -1.33203528512207; diff = 1.66533453693773e-16; -848/1000
Check failed for (fp64): alpha = -5.32185795518111; beta = -1.33046448879528; diff = 1.38777878078145e-16; -847/1000
Check failed for (fp64): alpha = -5.30300839925957; beta = -1.32575209981489; diff = 1.38777878078145e-16; -844/1000
Check failed for (fp64): alpha = -5.29672521395239; beta = -1.3241813034881; diff = 1.11022302462516e-16; -843/1000
Check failed for (fp64): alpha = -5.27787565803085; beta = -1.31946891450771; diff = 1.38777878078145e-16; -840/1000
Check failed for (fp64): alpha = -5.27159247272367; beta = -1.31789811818092; diff = 1.11022302462516e-16; -839/1000
Check failed for (fp64): alpha = -5.24645973149495; beta = -1.31161493287374; diff = 1.11022302462516e-16; -835/1000
Check failed for (fp64): alpha = -5.24017654618777; beta = -1.31004413654694; diff = 1.38777878078145e-16; -834/1000
Check failed for (fp64): alpha = -5.22132699026624; beta = -1.30533174756656; diff = 1.11022302462516e-16; -831/1000
Check failed for (fp64): alpha = -5.18362787842316; beta = -1.29590696960579; diff = 1.11022302462516e-16; -825/1000
Check failed for (fp64): alpha = -5.15849513719444; beta = -1.28962378429861; diff = 1.38777878078145e-16; -821/1000
Check failed for (fp64): alpha = -5.07053054289393; beta = -1.26763263572348; diff = 1.11022302462516e-16; -807/1000
Check failed for (fp64): alpha = -4.66212349792725; beta = -1.16553087448181; diff = 1.42247325030098e-16; -742/1000
Check failed for (fp64): alpha = -4.65584031262007; beta = -1.16396007815502; diff = 1.17961196366423e-16; -741/1000
Check failed for (fp64): alpha = -4.59929164485546; beta = -1.14982291121386; diff = 1.31838984174237e-16; -732/1000
Check failed for (fp64): alpha = -4.59300845954828; beta = -1.14825211488707; diff = 1.31838984174237e-16; -731/1000
Check failed for (fp64): alpha = -4.54902616239802; beta = -1.1372565405995; diff = 1.38777878078145e-16; -724/1000
Check failed for (fp64): alpha = -4.53645979178366; beta = -1.13411494794592; diff = 1.38777878078145e-16; -722/1000
Check failed for (fp64): alpha = -4.4924774946334; beta = -1.12311937365835; diff = 1.11022302462516e-16; -715/1000
Check failed for (fp64): alpha = -4.48619430932622; beta = -1.12154857733156; diff = 1.2490009027033e-16; -714/1000
Check failed for (fp64): alpha = -4.43592882686879; beta = -1.1089822067172; diff = 1.52655665885959e-16; -706/1000
Check failed for (fp64): alpha = -4.42964564156161; beta = -1.1074114103904; diff = 1.66533453693773e-16; -705/1000
Check failed for (fp64): alpha = -4.37938015910417; beta = -1.09484503977604; diff = 1.38777878078145e-16; -697/1000
Check failed for (fp64): alpha = -4.37309697379699; beta = -1.09327424344925; diff = 2.22044604925031e-16; -696/1000
Check failed for (fp64): alpha = -4.32283149133955; beta = -1.08070787283489; diff = 1.94289029309402e-16; -688/1000
Check failed for (fp64): alpha = -4.3102651207252; beta = -1.0775662801813; diff = 2.22044604925031e-16; -686/1000
Check failed for (fp64): alpha = -4.30398193541802; beta = -1.0759954838545; diff = 1.66533453693773e-16; -685/1000
Check failed for (fp64): alpha = -4.26628282357494; beta = -1.06657070589373; diff = 1.11022302462516e-16; -679/1000
Check failed for (fp64): alpha = -4.25999963826776; beta = -1.06499990956694; diff = 1.38777878078145e-16; -678/1000
Check failed for (fp64): alpha = -4.25371645296058; beta = -1.06342911324014; diff = 1.94289029309402e-16; -677/1000
Check failed for (fp64): alpha = -4.2474332676534; beta = -1.06185831691335; diff = 1.94289029309402e-16; -676/1000
Check failed for (fp64): alpha = -4.24115008234622; beta = -1.06028752058656; diff = 1.11022302462516e-16; -675/1000
Check failed for (fp64): alpha = -4.19716778519596; beta = -1.04929194629899; diff = 1.94289029309402e-16; -668/1000
Check failed for (fp64): alpha = -4.19088459988878; beta = -1.0477211499722; diff = 2.22044604925031e-16; -667/1000
Check failed for (fp64): alpha = -4.1846014145816; beta = -1.0461503536454; diff = 1.11022302462516e-16; -666/1000
Check failed for (fp64): alpha = -4.14690230273853; beta = -1.03672557568463; diff = 1.11022302462516e-16; -660/1000
Check failed for (fp64): alpha = -4.14061911743135; beta = -1.03515477935784; diff = 1.66533453693773e-16; -659/1000
Check failed for (fp64): alpha = -4.13433593212417; beta = -1.03358398303104; diff = 1.11022302462516e-16; -658/1000
Check failed for (fp64): alpha = -4.12805274681699; beta = -1.03201318670425; diff = 1.11022302462516e-16; -657/1000
Check failed for (fp64): alpha = -4.12176956150981; beta = -1.03044239037745; diff = 1.11022302462516e-16; -656/1000
Check failed for (fp64): alpha = -4.10292000558827; beta = -1.02573000139707; diff = 1.11022302462516e-16; -653/1000
Check failed for (fp64): alpha = -4.09035363497391; beta = -1.02258840874348; diff = 1.11022302462516e-16; -651/1000
Check failed for (fp64): alpha = -4.08407044966673; beta = -1.02101761241668; diff = 1.66533453693773e-16; -650/1000
Check failed for (fp64): alpha = -4.07778726435955; beta = -1.01944681608989; diff = 2.77555756156289e-16; -649/1000
Check failed for (fp64): alpha = -4.07150407905237; beta = -1.01787601976309; diff = 1.66533453693773e-16; -648/1000
Check failed for (fp64): alpha = -4.06522089374519; beta = -1.0163052234363; diff = 1.11022302462516e-16; -647/1000
Check failed for (fp64): alpha = -4.04637133782365; beta = -1.01159283445591; diff = 1.66533453693773e-16; -644/1000
Check failed for (fp64): alpha = -4.04008815251647; beta = -1.01002203812912; diff = 1.11022302462516e-16; -643/1000
Check failed for (fp64): alpha = -4.03380496720929; beta = -1.00845124180232; diff = 1.66533453693773e-16; -642/1000
Check failed for (fp64): alpha = -4.02752178190211; beta = -1.00688044547553; diff = 2.22044604925031e-16; -641/1000
Check failed for (fp64): alpha = -4.02123859659494; beta = -1.00530964914873; diff = 2.77555756156289e-16; -640/1000
Check failed for (fp64): alpha = -4.01495541128776; beta = -1.00373885282194; diff = 1.11022302462516e-16; -639/1000
Check failed for (fp64): alpha = -4.00867222598058; beta = -1.00216805649514; diff = 1.11022302462516e-16; -638/1000
Check failed for (fp64): alpha = -3.98982267005904; beta = -0.997455667514759; diff = 1.11022302462516e-16; -635/1000
Check failed for (fp64): alpha = -3.98353948475186; beta = -0.995884871187964; diff = 1.11022302462516e-16; -634/1000
Check failed for (fp64): alpha = -3.9709731141375; beta = -0.992743278534375; diff = 2.22044604925031e-16; -632/1000
Check failed for (fp64): alpha = -3.95840674352314; beta = -0.989601685880785; diff = 1.11022302462516e-16; -630/1000
Check failed for (fp64): alpha = -3.95212355821596; beta = -0.98803088955399; diff = 1.11022302462516e-16; -629/1000
Check failed for (fp64): alpha = -3.94584037290878; beta = -0.986460093227195; diff = 2.22044604925031e-16; -628/1000
Check failed for (fp64): alpha = -3.92699081698724; beta = -0.98174770424681; diff = 1.66533453693773e-16; -625/1000
Check failed for (fp64): alpha = -3.91442444637288; beta = -0.978606111593221; diff = 2.22044604925031e-16; -623/1000
Check failed for (fp64): alpha = -3.9081412610657; beta = -0.977035315266426; diff = 1.11022302462516e-16; -622/1000
Check failed for (fp64): alpha = -3.90185807575852; beta = -0.975464518939631; diff = 1.11022302462516e-16; -621/1000
Check failed for (fp64): alpha = -3.88929170514416; beta = -0.972322926286041; diff = 1.66533453693773e-16; -619/1000
Check failed for (fp64): alpha = -3.8767253345298; beta = -0.969181333632451; diff = 1.11022302462516e-16; -617/1000
Check failed for (fp64): alpha = -3.87044214922263; beta = -0.967610537305656; diff = 1.11022302462516e-16; -616/1000
Check failed for (fp64): alpha = -3.85787577860827; beta = -0.964468944652066; diff = 1.66533453693773e-16; -614/1000
Check failed for (fp64): alpha = -3.84530940799391; beta = -0.961327351998477; diff = 1.11022302462516e-16; -612/1000
Check failed for (fp64): alpha = -3.83902622268673; beta = -0.959756555671682; diff = 1.11022302462516e-16; -611/1000
Check failed for (fp64): alpha = -3.83274303737955; beta = -0.958185759344887; diff = 1.66533453693773e-16; -610/1000
Check failed for (fp64): alpha = -3.82017666676519; beta = -0.955044166691297; diff = 1.66533453693773e-16; -608/1000
Check failed for (fp64): alpha = -3.80132711084365; beta = -0.950331777710912; diff = 2.22044604925031e-16; -605/1000
Check failed for (fp64): alpha = -3.79504392553647; beta = -0.948760981384117; diff = 1.11022302462516e-16; -604/1000
Check failed for (fp64): alpha = -3.78876074022929; beta = -0.947190185057323; diff = 1.11022302462516e-16; -603/1000
Check failed for (fp64): alpha = -3.78247755492211; beta = -0.945619388730528; diff = 2.22044604925031e-16; -602/1000
Check failed for (fp64): alpha = -3.77619436961493; beta = -0.944048592403733; diff = 1.11022302462516e-16; -601/1000
Check failed for (fp64): alpha = -3.76362799900057; beta = -0.940906999750143; diff = 1.66533453693773e-16; -599/1000
Check failed for (fp64): alpha = -3.75734481369339; beta = -0.939336203423348; diff = 1.11022302462516e-16; -598/1000
Check failed for (fp64): alpha = -3.75106162838621; beta = -0.937765407096553; diff = 1.66533453693773e-16; -597/1000
Check failed for (fp64): alpha = -3.74477844307903; beta = -0.936194610769758; diff = 2.77555756156289e-16; -596/1000
Check failed for (fp64): alpha = -3.73221207246467; beta = -0.933053018116168; diff = 1.11022302462516e-16; -594/1000
Check failed for (fp64): alpha = -3.72592888715749; beta = -0.931482221789374; diff = 1.66533453693773e-16; -593/1000
Check failed for (fp64): alpha = -3.71964570185032; beta = -0.929911425462579; diff = 2.22044604925031e-16; -592/1000
Check failed for (fp64): alpha = -3.70707933123596; beta = -0.926769832808989; diff = 1.11022302462516e-16; -590/1000
Check failed for (fp64): alpha = -3.70079614592878; beta = -0.925199036482194; diff = 1.11022302462516e-16; -589/1000
Check failed for (fp64): alpha = -3.6945129606216; beta = -0.923628240155399; diff = 1.11022302462516e-16; -588/1000
Check failed for (fp64): alpha = -3.68822977531442; beta = -0.922057443828604; diff = 3.33066907387547e-16; -587/1000
Check failed for (fp64): alpha = -3.68194659000724; beta = -0.920486647501809; diff = 1.11022302462516e-16; -586/1000
Check failed for (fp64): alpha = -3.67566340470006; beta = -0.918915851175014; diff = 2.22044604925031e-16; -585/1000
Check failed for (fp64): alpha = -3.66938021939288; beta = -0.917345054848219; diff = 1.11022302462516e-16; -584/1000
Check failed for (fp64): alpha = -3.6630970340857; beta = -0.915774258521425; diff = 1.11022302462516e-16; -583/1000
Check failed for (fp64): alpha = -3.65053066347134; beta = -0.912632665867835; diff = 2.22044604925031e-16; -581/1000
Check failed for (fp64): alpha = -3.64424747816416; beta = -0.91106186954104; diff = 2.22044604925031e-16; -580/1000
Check failed for (fp64): alpha = -3.63796429285698; beta = -0.909491073214245; diff = 1.11022302462516e-16; -579/1000
Check failed for (fp64): alpha = -3.6316811075498; beta = -0.90792027688745; diff = 2.22044604925031e-16; -578/1000
Check failed for (fp64): alpha = -3.61911473693544; beta = -0.90477868423386; diff = 1.11022302462516e-16; -576/1000
Check failed for (fp64): alpha = -3.61283155162826; beta = -0.903207887907065; diff = 1.11022302462516e-16; -575/1000
Check failed for (fp64): alpha = -3.59398199570672; beta = -0.898495498926681; diff = 1.11022302462516e-16; -572/1000
Check failed for (fp64): alpha = -3.58769881039954; beta = -0.896924702599886; diff = 2.22044604925031e-16; -571/1000
Check failed for (fp64): alpha = -3.57513243978518; beta = -0.893783109946296; diff = 1.11022302462516e-16; -569/1000
Check failed for (fp64): alpha = -3.568849254478; beta = -0.892212313619501; diff = 1.11022302462516e-16; -568/1000
Check failed for (fp64): alpha = -3.56256606917082; beta = -0.890641517292706; diff = 1.11022302462516e-16; -567/1000
Check failed for (fp64): alpha = -3.55628288386365; beta = -0.889070720965911; diff = 2.22044604925031e-16; -566/1000
Check failed for (fp64): alpha = -3.53743332794211; beta = -0.884358331985527; diff = 1.11022302462516e-16; -563/1000
Check failed for (fp64): alpha = -3.53115014263493; beta = -0.882787535658732; diff = 1.11022302462516e-16; -562/1000
Check failed for (fp64): alpha = -3.52486695732775; beta = -0.881216739331937; diff = 1.11022302462516e-16; -561/1000
Check failed for (fp64): alpha = -3.51858377202057; beta = -0.879645943005142; diff = 2.22044604925031e-16; -560/1000
Check failed for (fp64): alpha = -3.50601740140621; beta = -0.876504350351552; diff = 1.11022302462516e-16; -558/1000
Check failed for (fp64): alpha = -3.49345103079185; beta = -0.873362757697963; diff = 1.11022302462516e-16; -556/1000
Check failed for (fp64): alpha = -3.48716784548467; beta = -0.871791961371168; diff = 2.22044604925031e-16; -555/1000
Check failed for (fp64): alpha = -3.47460147487031; beta = -0.868650368717578; diff = 1.11022302462516e-16; -553/1000
Check failed for (fp64): alpha = -3.46831828956313; beta = -0.867079572390783; diff = 2.22044604925031e-16; -552/1000
Check failed for (fp64): alpha = -3.46203510425595; beta = -0.865508776063988; diff = 2.22044604925031e-16; -551/1000
Check failed for (fp64): alpha = -3.44946873364159; beta = -0.862367183410398; diff = 2.22044604925031e-16; -549/1000
Check failed for (fp64): alpha = -3.44318554833441; beta = -0.860796387083603; diff = 1.11022302462516e-16; -548/1000
Check failed for (fp64): alpha = -3.43690236302723; beta = -0.859225590756808; diff = 2.22044604925031e-16; -547/1000
Check failed for (fp64): alpha = -3.43061917772005; beta = -0.857654794430014; diff = 1.11022302462516e-16; -546/1000
Check failed for (fp64): alpha = -3.4180528071057; beta = -0.854513201776424; diff = 1.11022302462516e-16; -544/1000
Check failed for (fp64): alpha = -3.41176962179852; beta = -0.852942405449629; diff = 2.22044604925031e-16; -543/1000
Check failed for (fp64): alpha = -3.40548643649134; beta = -0.851371609122834; diff = 1.11022302462516e-16; -542/1000
Check failed for (fp64): alpha = -3.39920325118416; beta = -0.849800812796039; diff = 1.11022302462516e-16; -541/1000
Check failed for (fp64): alpha = -3.39292006587698; beta = -0.848230016469244; diff = 2.22044604925031e-16; -540/1000
Check failed for (fp64): alpha = -3.3866368805698; beta = -0.846659220142449; diff = 1.11022302462516e-16; -539/1000
Check failed for (fp64): alpha = -3.38035369526262; beta = -0.845088423815654; diff = 2.22044604925031e-16; -538/1000
Check failed for (fp64): alpha = -3.37407050995544; beta = -0.84351762748886; diff = 1.11022302462516e-16; -537/1000
Check failed for (fp64): alpha = -3.36150413934108; beta = -0.84037603483527; diff = 1.11022302462516e-16; -535/1000
Check failed for (fp64): alpha = -3.3552209540339; beta = -0.838805238508475; diff = 2.22044604925031e-16; -534/1000
Check failed for (fp64): alpha = -3.33637139811236; beta = -0.83409284952809; diff = 2.22044604925031e-16; -531/1000
Check failed for (fp64): alpha = -3.33008821280518; beta = -0.832522053201295; diff = 1.11022302462516e-16; -530/1000
Check failed for (fp64): alpha = -3.323805027498; beta = -0.8309512568745; diff = 2.22044604925031e-16; -529/1000
Check failed for (fp64): alpha = -3.31752184219082; beta = -0.829380460547705; diff = 1.11022302462516e-16; -528/1000
Check failed for (fp64): alpha = -3.30495547157646; beta = -0.826238867894116; diff = 1.11022302462516e-16; -526/1000
Check failed for (fp64): alpha = -3.29867228626928; beta = -0.824668071567321; diff = 1.11022302462516e-16; -525/1000
Check failed for (fp64): alpha = -3.2923891009621; beta = -0.823097275240526; diff = 1.11022302462516e-16; -524/1000
Check failed for (fp64): alpha = -3.28610591565492; beta = -0.821526478913731; diff = 1.11022302462516e-16; -523/1000
